+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                               ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; soc_u|rst_controller_003|alt_rst_req_sync_uq1                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_003|alt_rst_sync_uq1                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_003                                                                                                                            ; 33    ; 32             ; 0            ; 32             ; 2      ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_002|alt_rst_req_sync_uq1                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_002|alt_rst_sync_uq1                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_002                                                                                                                            ; 33    ; 32             ; 0            ; 32             ; 2      ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_001|alt_rst_req_sync_uq1                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_001|alt_rst_sync_uq1                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller_001                                                                                                                            ; 33    ; 32             ; 0            ; 32             ; 2      ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller|alt_rst_req_sync_uq1                                                                                                           ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller|alt_rst_sync_uq1                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|rst_controller                                                                                                                                ; 33    ; 32             ; 0            ; 32             ; 2      ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_004|error_adapter_0                                                                                       ; 14    ; 1              ; 2            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_004                                                                                                       ; 14    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_003|error_adapter_0                                                                                       ; 134   ; 1              ; 2            ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_003                                                                                                       ; 134   ; 0              ; 0            ; 0              ; 133    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_002|error_adapter_0                                                                                       ; 134   ; 1              ; 2            ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_002                                                                                                       ; 134   ; 0              ; 0            ; 0              ; 133    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_001|error_adapter_0                                                                                       ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter_001                                                                                                       ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter|error_adapter_0                                                                                           ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|avalon_st_adapter                                                                                                           ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|sendcontrol_sendctrlmm_cmd_width_adapter|check_and_align_address_to_size                                                    ; 34    ; 8              ; 2            ; 8              ; 23     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|sendcontrol_sendctrlmm_cmd_width_adapter                                                                                    ; 132   ; 3              ; 2            ; 3              ; 100    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|qdata_read_dispatcher_descriptor_slave_cmd_width_adapter|uncompressor                                                       ; 47    ; 4              ; 0            ; 4              ; 34     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|qdata_read_dispatcher_descriptor_slave_cmd_width_adapter                                                                    ; 132   ; 5              ; 0            ; 5              ; 235    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|idata_read_dispatcher_descriptor_slave_cmd_width_adapter|uncompressor                                                       ; 47    ; 4              ; 0            ; 4              ; 34     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|idata_read_dispatcher_descriptor_slave_cmd_width_adapter                                                                    ; 132   ; 5              ; 0            ; 5              ; 235    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|sendcontrol_sendctrlmm_rsp_width_adapter|uncompressor                                                                       ; 47    ; 4              ; 0            ; 4              ; 34     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|sendcontrol_sendctrlmm_rsp_width_adapter                                                                                    ; 105   ; 3              ; 0            ; 3              ; 127    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|qdata_read_dispatcher_descriptor_slave_rsp_width_adapter|check_and_align_address_to_size                                    ; 34    ; 8              ; 2            ; 8              ; 25     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|qdata_read_dispatcher_descriptor_slave_rsp_width_adapter                                                                    ; 240   ; 3              ; 0            ; 3              ; 127    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|idata_read_dispatcher_descriptor_slave_rsp_width_adapter|check_and_align_address_to_size                                    ; 34    ; 8              ; 2            ; 8              ; 25     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; soc_u|mm_interconnect_1|idata_read_dispatcher_descriptor_slave_rsp_width_adapter                                                                    ; 240   ; 3              ; 0            ; 3              ; 127    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
